dna_sample_id,specimen_id,aliquot_number
1_1,1,1
1_2,1,2
1_3,1,3
1_4,1,4
2_1,2,1
2_2,2,2
2_3,2,3
2_4,2,4
3_1,3,1
3_2,3,2
3_3,3,3
3_4,3,4
4_1,4,1
4_2,4,2
4_3,4,3
4_4,4,4
5_1,5,1
5_2,5,2
5_3,5,3
5_4,5,4
6_1,6,1
6_2,6,2
6_3,6,3
6_4,6,4
7_1,7,1
7_2,7,2
7_3,7,3
7_4,7,4
8_1,8,1
8_2,8,2
8_3,8,3
8_4,8,4
9_1,9,1
9_2,9,2
9_3,9,3
9_4,9,4
10_1,10,1
10_2,10,2
10_3,10,3
10_4,10,4
11_1,11,1
11_2,11,2
11_3,11,3
11_4,11,4
12_1,12,1
12_2,12,2
12_3,12,3
12_4,12,4
13_1,13,1
13_2,13,2
14_1,14,1
14_2,14,2
14_3,14,3
14_4,14,4
15_1,15,1
15_2,15,2
15_3,15,3
15_4,15,4
16_1,16,1
16_2,16,2
16_3,16,3
16_4,16,4
17_1,17,1
17_2,17,2
17_3,17,3
17_4,17,4
18_1,18,1
18_2,18,2
18_3,18,3
18_4,18,4
19_1,19,1
19_2,19,2
19_3,19,3
19_4,19,4
20_1,20,1
20_2,20,2
20_3,20,3
20_4,20,4
21_1,21,1
21_2,21,2
21_3,21,3
21_4,21,4
22_1,22,1
22_2,22,2
22_3,22,3
22_4,22,4
23_1,23,1
23_2,23,2
23_3,23,3
23_4,23,4
24_1,24,1
24_2,24,2
24_3,24,3
24_4,24,4
25_1,25,1
25_2,25,2
26_1,26,1
26_2,26,2
26_3,26,3
26_4,26,4
