sample_id,well,dna_conc_s1
5_1,A01,30.257
4_3,A02,0.025
2_3,A03,0.003
17_3,A04,9.023
7_2,A05,4.12
24_2,A06,6.562
26_4,A07,3.31
15_1,A08,0.221
24_1,A09,11.121
15_2,A10,3.109
9_4,A11,6.075
12_2,A12,4.237
11_4,B01,4.135
10_2,B02,4.298
7_3,B03,27.778
10_1,B04,22.63
17_2,B05,4.381
21_3,B06,24.313
25_2,B07,3.501
12_1,B08,11.326
10_3,B09,24.49
8_1,B10,16.263
4_4,B11,0.672
18_4,B12,8.587
19_1,C01,6.302
16_3,C02,1.064
5_3,C03,26.337
1_1,C04,0.08
20_1,C05,16.997
14_1,C06,0.699
4_1,C07,Undetected
18_3,C08,12.051
13_1,C09,15.643
6_3,C10,30.622
23_2,C11,7.787
15_3,C12,0.439
5_2,D01,4.575
16_4,D02,4.195
21_4,D03,16.684
26_2,D04,2.991
20_2,D05,6.257
19_4,D06,5.227
14_3,D07,0.739
26_3,D08,0.754
19_3,D09,6.183
3_1,D10,0.078
22_2,D11,9.994
18_1,D12,12.817
6_4,E01,3.604
5_4,E02,2.795
9_2,E03,3.847
22_4,E04,5.794
2_2,E05,0.761
19_2,E06,5.314
14_4,E07,4.375
9_3,E08,26.267
16_2,E09,5.044
3_4,E10,0.616
21_2,E11,10.761
3_2,E12,0.554
14_2,F01,4.405
16_1,F02,0.524
7_4,F03,3.873
13_2,F04,20.886
4_2,F05,0.399
8_2,F06,2.853
23_1,F07,8.865
17_1,F08,8.518
1_2,F09,0.72
11_3,F10,17.309
17_4,F11,5.641
9_1,F12,29.555
6_1,G01,32.65
25_1,G02,0.104
2_4,G03,0.531
10_4,G04,4.889
11_2,G05,4.792
6_2,G06,5.03
2_1,G07,0.08
15_4,G08,2.137
22_1,G09,18.366
21_1,G10,25.217
11_1,G11,15.215
7_1,G12,29.56
26_1,H01,0.523
18_2,H02,5.281
3_3,H03,0.061
22_3,H04,17.732
Blank,H05,Undetected
Blank,H06,Undetected
Blank,H07,Undetected
Blank,H08,Undetected
Blank,H09,Undetected
Blank,H10,Undetected
Blank,H11,Undetected
Blank,H12,Undetected
